lon,lat,mag,time_string,depth,catalog_id,event_id
-115.2278333,32.3066667,5.37,2006-05-24T04:20:26.010000,6.006,,ci12245763
-124.4331667,40.2806667,5.0,2006-07-19T11:41:43.460000,20.064,,nc21527987
-124.8628333,40.6428333,5.4,2007-02-26T12:19:54.530000,-0.533,,nc40193932
-124.87,40.642,5.4,2007-02-26T12:21:02.140000,4.957,,ci10233309
-125.0161667,40.3745,5.2,2007-05-09T07:50:03.830000,-0.423,,nc51181705
-124.8245,41.1155,5.0,2007-06-25T02:32:24.620000,2.563,,nc51183469
-121.7743333,37.4335,5.45,2007-10-31T03:04:54.810000,9.741,,nc40204628
-115.2773333,32.3595,5.1,2008-02-09T07:12:04.550000,6.001,,ci14346868
-115.2568333,32.3271667,5.1,2008-02-11T18:29:30.530000,6.001,,ci14348196
-115.3175,32.4475,4.97,2008-02-12T04:32:39.240000,6.018,,ci14348588
-115.313,32.4325,5.01,2008-02-19T22:41:29.660000,6.006,,ci14351140
-119.9393,39.5231,5.1,2008-04-26T06:40:10.453000,2.8,,nn00385392
-123.4968333,40.8358333,5.4,2008-04-30T03:03:06.900000,27.755,,nc40216664
-117.7663333,33.9485,5.44,2008-07-29T18:42:15.670000,15.503,,ci14383980
-115.3318333,32.3288333,4.98,2008-11-20T19:23:00.190000,6.006,,ci14404512
-116.4188333,34.8133333,5.06,2008-12-06T04:18:42.850000,6.37,,ci14408052
-115.2611667,32.3706667,5.08,2009-09-19T22:55:17.840000,9.987,,ci14512436
-117.8586667,36.3878333,5.0,2009-10-01T10:01:24.670000,3.985,,ci14517500
-117.8608333,36.391,5.19,2009-10-03T01:16:00.310000,-1.77,,ci14519780
-115.1891667,32.464,5.8,2009-12-30T18:48:57.330000,5.971,,ci14565620
-124.6925,40.652,6.5,2010-01-10T00:27:39.320000,28.737,,nc71338066
-124.9613333,40.4123333,5.88,2010-02-04T20:20:21.970000,23.048,,nc71348851
-115.2953333,32.2861667,7.2,2010-04-04T22:40:42.360000,9.987,,ci14607652
-115.632,32.4533333,5.26,2010-04-04T22:43:00.430000,9.981,,ci10184394
-115.0481667,32.0986667,5.7,2010-04-04T22:50:17.120000,10.011,,ci31957759
-115.2595,32.3,5.43,2010-04-04T23:15:14.240000,9.987,,ci14607836
-115.2925,32.2661667,5.38,2010-04-04T23:25:07.190000,9.987,,ci14607924
-115.1341667,31.9788333,5.22,2010-04-05T00:07:07.920000,9.994,,ci10148002
-115.8055,32.6465,4.96,2010-04-05T03:15:24.770000,1.243,,ci14609660
-115.2683333,32.1646667,5.29,2010-04-08T16:44:25.010000,9.985,,ci10589037
-115.9113333,32.705,5.71,2010-06-15T04:26:58.240000,8.756,,ci14745580
-116.4746667,33.4173333,5.42,2010-07-07T23:53:33.480000,12.318,,ci10736069
-115.1981667,32.0485,4.96,2010-09-14T10:52:18,9.939,,ci10798005
