lon,lat,mag,time_string,depth,catalog_id,event_id
-115.0621667,32.047,5.09,2011-02-18T17:47:35.770000,14.929,,ci14937372
-123.7903333,41.1431667,5.6,2012-02-13T21:07:02.770000,27.358,,nc71734741
-125.3308333,40.4116667,5.19,2012-07-21T06:04:21.250000,5.871,,nc71819471
-115.5536667,33.0171667,5.32,2012-08-26T19:31:23.040000,8.323,,ci15199681
-115.5403333,33.0185,5.41,2012-08-26T20:57:58.220000,8.283,,ci15200401
-120.856,36.3096667,5.29,2012-10-21T06:55:09.510000,8.619,,nc71863625
-118.0553,38.0222,5.1,2013-02-13T00:10:14.393000,7.5,,nn00402688
-121.0595,40.1918333,5.69,2013-05-24T03:47:08.180000,7.968,,nc71996906
-125.1338333,40.8286667,6.8,2014-03-10T05:18:13.430000,16.441,,nc72182046
-117.9158333,33.9325,5.1,2014-03-29T04:09:42.170000,5.09,,ci15481673
-122.3123333,38.2151667,6.02,2014-08-24T10:20:44.070000,11.12,,nc72282711
-124.6066667,40.3178333,5.72,2015-01-28T21:08:53.710000,16.881,,nc72387946
